nodes,ntasks,backend,solver_creation,solver_time,system,size,memory_type,send_type,cycles
2,1,MPIAdvance-CXI-Double-Buffering,0.0278601,3.01226,frontier,16384,coarse,Ready Send,1000
2,1,MPIAdvance-CXI-Double-Buffering,0.0129325,3.01486,frontier,16384,fine,Ready Send,1000
2,1,MPIAdvance-CXI-Single-Buffering,0.0155735,3.01962,frontier,16384,fine,Standard,1000
2,1,MPIAdvance-CXI-Single-Buffering,0.0160484,3.01634,frontier,16384,coarse,Standard,1000
2,1,Cray-MPICH-CXI-GPU-Enabled,0.00290397,3.05958,frontier,16384,coarse,Standard,1000
2,1,MPIAdvance-CXI-Double-Buffering,0.0186491,42.7918,frontier,61440,coarse,Ready Send,1000
2,1,MPIAdvance-CXI-Double-Buffering,0.0281644,42.7926,frontier,61440,fine,Ready Send,1000
2,1,MPIAdvance-CXI-Single-Buffering,0.0239004,43.0011,frontier,61440,fine,Standard,1000
2,1,MPIAdvance-CXI-Single-Buffering,0.0280144,42.8935,frontier,61440,coarse,Standard,1000
2,1,Cray-MPICH-CXI-GPU-Enabled,0.0101076,42.9664,frontier,61440,coarse,Standard,1000
2,2,MPIAdvance-CXI-Double-Buffering,0.0177256,1.58967,frontier,16384,coarse,Ready Send,1000
2,2,MPIAdvance-CXI-Double-Buffering,0.0143684,1.59333,frontier,16384,fine,Ready Send,1000
2,2,MPIAdvance-CXI-Single-Buffering,0.0190834,1.59618,frontier,16384,fine,Standard,1000
2,2,MPIAdvance-CXI-Single-Buffering,0.0182581,1.59266,frontier,16384,coarse,Standard,1000
2,2,Cray-MPICH-CXI-GPU-Enabled,0.00366721,1.61182,frontier,16384,coarse,Standard,1000
2,2,MPIAdvance-CXI-Double-Buffering,0.0162793,21.6605,frontier,61440,coarse,Ready Send,1000
2,2,MPIAdvance-CXI-Double-Buffering,0.018547,21.6484,frontier,61440,fine,Ready Send,1000
2,2,MPIAdvance-CXI-Single-Buffering,0.0196257,21.7463,frontier,61440,fine,Standard,1000
2,2,MPIAdvance-CXI-Single-Buffering,0.0204004,21.7511,frontier,61440,coarse,Standard,1000
2,2,Cray-MPICH-CXI-GPU-Enabled,0.00728415,21.559,frontier,61440,coarse,Standard,1000
2,4,MPIAdvance-CXI-Double-Buffering,0.0174873,0.864203,frontier,16384,coarse,Ready Send,1000
2,4,MPIAdvance-CXI-Double-Buffering,0.020975,0.868291,frontier,16384,fine,Ready Send,1000
2,4,MPIAdvance-CXI-Single-Buffering,0.0216779,0.873122,frontier,16384,fine,Standard,1000
2,4,MPIAdvance-CXI-Single-Buffering,0.0200937,0.86784,frontier,16384,coarse,Standard,1000
2,4,Cray-MPICH-CXI-GPU-Enabled,0.00344072,0.881323,frontier,16384,coarse,Standard,1000
2,4,MPIAdvance-CXI-Double-Buffering,0.0187251,10.716,frontier,61440,coarse,Ready Send,1000
2,4,MPIAdvance-CXI-Double-Buffering,0.016689,10.7667,frontier,61440,fine,Ready Send,1000
2,4,MPIAdvance-CXI-Single-Buffering,0.0259522,10.886,frontier,61440,fine,Standard,1000
2,4,MPIAdvance-CXI-Single-Buffering,0.0261189,10.8811,frontier,61440,coarse,Standard,1000
2,4,Cray-MPICH-CXI-GPU-Enabled,0.0060645,10.6711,frontier,61440,coarse,Standard,1000
2,8,MPIAdvance-CXI-Double-Buffering,0.0322455,0.505166,frontier,16384,coarse,Ready Send,1000
2,8,MPIAdvance-CXI-Double-Buffering,0.035297,0.509332,frontier,16384,fine,Ready Send,1000
2,8,MPIAdvance-CXI-Single-Buffering,0.0295873,0.51581,frontier,16384,fine,Standard,1000
2,8,MPIAdvance-CXI-Single-Buffering,0.0354485,0.511341,frontier,16384,coarse,Standard,1000
2,8,Cray-MPICH-CXI-GPU-Enabled,0.0138506,0.534682,frontier,16384,coarse,Standard,1000
2,8,MPIAdvance-CXI-Double-Buffering,0.0318938,5.50457,frontier,61440,coarse,Ready Send,1000
2,8,MPIAdvance-CXI-Double-Buffering,0.0288089,5.5116,frontier,61440,fine,Ready Send,1000
2,8,MPIAdvance-CXI-Single-Buffering,0.0333318,5.63736,frontier,61440,fine,Standard,1000
2,8,MPIAdvance-CXI-Single-Buffering,0.0349017,5.63267,frontier,61440,coarse,Standard,1000
2,8,Cray-MPICH-CXI-GPU-Enabled,0.0185931,5.59371,frontier,61440,coarse,Standard,1000
4,1,MPIAdvance-CXI-Double-Buffering,0.0400072,1.58913,frontier,16384,coarse,Ready Send,1000
4,1,MPIAdvance-CXI-Double-Buffering,0.0130042,1.59177,frontier,16384,fine,Ready Send,1000
4,1,MPIAdvance-CXI-Single-Buffering,0.018289,1.59804,frontier,16384,fine,Standard,1000
4,1,MPIAdvance-CXI-Single-Buffering,0.0179335,1.59544,frontier,16384,coarse,Standard,1000
4,1,Cray-MPICH-CXI-GPU-Enabled,0.00698153,1.59648,frontier,16384,coarse,Standard,1000
4,1,MPIAdvance-CXI-Double-Buffering,0.0149076,21.7387,frontier,61440,coarse,Ready Send,1000
4,1,MPIAdvance-CXI-Double-Buffering,0.0147243,21.7378,frontier,61440,fine,Ready Send,1000
4,1,MPIAdvance-CXI-Single-Buffering,0.0176937,21.905,frontier,61440,fine,Standard,1000
4,1,MPIAdvance-CXI-Single-Buffering,0.019653,21.8995,frontier,61440,coarse,Standard,1000
4,1,Cray-MPICH-CXI-GPU-Enabled,0.0142996,21.7535,frontier,61440,coarse,Standard,1000
4,2,MPIAdvance-CXI-Double-Buffering,0.0188104,0.8682,frontier,16384,coarse,Ready Send,1000
4,2,MPIAdvance-CXI-Double-Buffering,0.0165803,0.872431,frontier,16384,fine,Ready Send,1000
4,2,MPIAdvance-CXI-Single-Buffering,0.0196356,0.877374,frontier,16384,fine,Standard,1000
4,2,MPIAdvance-CXI-Single-Buffering,0.0199449,0.872511,frontier,16384,coarse,Standard,1000
4,2,Cray-MPICH-CXI-GPU-Enabled,0.00417756,0.880988,frontier,16384,coarse,Standard,1000
4,2,MPIAdvance-CXI-Double-Buffering,0.017461,10.778,frontier,61440,coarse,Ready Send,1000
4,2,MPIAdvance-CXI-Double-Buffering,0.0174267,10.7331,frontier,61440,fine,Ready Send,1000
4,2,MPIAdvance-CXI-Single-Buffering,0.0202536,10.8548,frontier,61440,fine,Standard,1000
4,2,MPIAdvance-CXI-Single-Buffering,0.0203836,10.8496,frontier,61440,coarse,Standard,1000
4,2,Cray-MPICH-CXI-GPU-Enabled,0.00496772,10.7036,frontier,61440,coarse,Standard,1000
