nodes,ntasks,backend,solver_creation,solver_time,system,size,memory_type,send_type,cycles
1,1,MPIAdvance-CXI-Double-Buffering,0.699757,3.07898,tuolumne,16384,coarse,Ready Send,1000
1,1,MPIAdvance-CXI-Double-Buffering,0.568713,3.08499,tuolumne,16384,fine,Ready Send,1000
1,1,MPIAdvance-CXI-Single-Buffering,0.580922,3.08746,tuolumne,16384,coarse,Standard,1000
1,1,MPIAdvance-CXI-Single-Buffering,0.577068,3.08465,tuolumne,16384,fine,Standard,1000
1,1,Cray-MPICH-CXI-GPU-Enabled,0.356529,3.25195,tuolumne,16384,coarse,Standard,1000
1,1,MPIAdvance-CXI-Double-Buffering,9.88166,91.0996,tuolumne,88320,coarse,Ready Send,1000
1,1,MPIAdvance-CXI-Double-Buffering,8.68578,91.1509,tuolumne,88320,fine,Ready Send,1000
1,1,MPIAdvance-CXI-Single-Buffering,8.65792,90.8772,tuolumne,88320,coarse,Standard,1000
1,1,MPIAdvance-CXI-Single-Buffering,8.92232,90.933,tuolumne,88320,fine,Standard,1000
1,1,Cray-MPICH-CXI-GPU-Enabled,8.37556,90.9358,tuolumne,88320,coarse,Standard,1000
1,2,MPIAdvance-CXI-Double-Buffering,0.635801,1.58387,tuolumne,16384,coarse,Ready Send,1000
1,2,MPIAdvance-CXI-Double-Buffering,0.393209,1.58548,tuolumne,16384,fine,Ready Send,1000
1,2,MPIAdvance-CXI-Single-Buffering,0.40316,1.58947,tuolumne,16384,coarse,Standard,1000
1,2,MPIAdvance-CXI-Single-Buffering,0.407383,1.58909,tuolumne,16384,fine,Standard,1000
1,2,Cray-MPICH-CXI-GPU-Enabled,0.154602,1.60962,tuolumne,16384,coarse,Standard,1000
1,2,MPIAdvance-CXI-Double-Buffering,3.33836,45.2915,tuolumne,88320,coarse,Ready Send,1000
1,2,MPIAdvance-CXI-Double-Buffering,2.63723,45.2833,tuolumne,88320,fine,Ready Send,1000
1,2,MPIAdvance-CXI-Single-Buffering,2.5751,45.2927,tuolumne,88320,coarse,Standard,1000
1,2,MPIAdvance-CXI-Single-Buffering,2.59789,45.2828,tuolumne,88320,fine,Standard,1000
